bin_id,bin_from,bin_to,interpolation,interval_type
1,0.000000,0.000000,0.000000,1201
2,0.000000,0.001000,0.000500,1201
3,0.001000,0.020000,0.010500,1201
4,0.020000,0.040000,0.030000,1201
5,0.040000,0.060000,0.050000,1201
6,0.060000,0.080000,0.070000,1201
7,0.080000,0.100000,0.090000,1201
8,0.100000,0.120000,0.110000,1201
9,0.120000,0.140000,0.130000,1201
10,0.140000,0.160000,0.150000,1201
11,0.160000,0.180000,0.170000,1201
12,0.180000,0.200000,0.190000,1201
13,0.200000,0.220000,0.210000,1201
14,0.220000,0.240000,0.230000,1201
15,0.240000,0.260000,0.250000,1201
16,0.260000,0.280000,0.270000,1201
17,0.280000,0.300000,0.290000,1201
18,0.300000,0.320000,0.310000,1201
19,0.320000,0.340000,0.330000,1201
20,0.340000,0.360000,0.350000,1201
21,0.360000,0.380000,0.370000,1201
22,0.380000,0.400000,0.390000,1201
23,0.400000,0.420000,0.410000,1201
24,0.420000,0.440000,0.430000,1201
25,0.440000,0.460000,0.450000,1201
26,0.460000,0.480000,0.470000,1201
27,0.480000,0.500000,0.490000,1201
28,0.500000,0.520000,0.510000,1201
29,0.520000,0.540000,0.530000,1201
30,0.540000,0.560000,0.550000,1201
31,0.560000,0.580000,0.570000,1201
32,0.580000,0.600000,0.590000,1201
33,0.600000,0.620000,0.610000,1201
34,0.620000,0.640000,0.630000,1201
35,0.640000,0.660000,0.650000,1201
36,0.660000,0.680000,0.670000,1201
37,0.680000,0.700000,0.690000,1201
38,0.700000,0.720000,0.710000,1201
39,0.720000,0.740000,0.730000,1201
40,0.740000,0.760000,0.750000,1201
41,0.760000,0.780000,0.770000,1201
42,0.780000,0.800000,0.790000,1201
43,0.800000,0.820000,0.810000,1201
44,0.820000,0.840000,0.830000,1201
45,0.840000,0.860000,0.850000,1201
46,0.860000,0.880000,0.870000,1201
47,0.880000,0.900000,0.890000,1201
48,0.900000,0.920000,0.910000,1201
49,0.920000,0.940000,0.930000,1201
50,0.940000,0.960000,0.950000,1201
51,0.960000,0.980000,0.970000,1201
52,0.980000,1.000000,0.990000,1201
