bin_id,bin_from,bin_to,interpolation,interval_type
1,-3.400,-2.765,-2.765,1201
2,-2.765,-2.676,-2.720,1201
3,-2.676,-2.586,-2.631,1201
4,-2.586,-2.495,-2.540,1201
5,-2.495,-2.403,-2.449,1201
6,-2.403,-2.310,-2.356,1201
7,-2.310,-2.216,-2.263,1201
8,-2.216,-2.121,-2.168,1201
9,-2.121,-2.025,-2.073,1201
10,-2.025,-1.927,-1.976,1201
11,-1.927,-1.829,-1.878,1201
12,-1.829,-1.730,-1.780,1201
13,-1.730,-1.630,-1.680,1201
14,-1.630,-1.528,-1.579,1201
15,-1.528,-1.425,-1.477,1201
16,-1.425,-1.322,-1.374,1201
17,-1.322,-1.217,-1.269,1201
18,-1.217,-1.111,-1.164,1201
19,-1.111,-1.004,-1.057,1201
20,-1.004,-0.895,-0.949,1201
21,-0.895,-0.786,-0.841,1201
22,-0.786,-0.675,-0.730,1201
23,-0.675,-0.563,-0.619,1201
24,-0.563,-0.450,-0.506,1201
25,-0.450,-0.335,-0.393,1201
26,-0.335,-0.220,-0.277,1201
27,-0.220,-0.103,-0.161,1201
28,-0.103,0.016,-0.043,1201
29,0.016,0.135,0.075,1201
30,0.135,0.256,0.196,1201
